	mets	stat	pval	padj	FC_geommu	log2FC
0	L-Lactic_acid	0.9204230967129126	0.40943782742199486	1.0	1.1463166049866529	0.19700556186158322
1	Hexose				1.0	0.0
2	Hexose-phosphate				1.0	0.0
3	Pyruvic_acid				1.0	0.0
4	L-Glutamine	0.48614054716798955	0.652298921879375	1.0	1.073362526996471	0.10213742704134374
5	L-Methionine				1.0	0.0
6	L-Phenylalanine				1.0	0.0
7	Glycine				1.0	0.0
8	L-Alanine				1.0	0.0
9	L-Histidine				1.0	0.0
10	L-Proline	0.6651736908781727	0.5423306603240434	1.0	55.72074373869957	5.800142609484329
11	L-Serine				1.0	0.0
12	L-Tryptophan				1.0	0.0
13	L-Valine				1.0	0.0
14	L-Arginine				1.0	0.0
15	L-Asparagine				1.0	0.0
16	L-Threonine				1.0	0.0
17	L-Lysine				1.0	0.0
18	Ile_Leu				1.0	0.0
19	L-Tyrosine				1.0	0.0
