	mets	stat	pval	padj	FC_geommu	log2FC
0	L-Lactic_acid	0.9022189099798802	0.41795709439664014	1.0	1.048220037963608	0.0679415931710968
1	Hexose				1.0	0.0
2	Hexose-phosphate				1.0	0.0
3	Pyruvic_acid				1.0	0.0
4	L-Glutamine	1.0	0.373900966300059	1.0	21.969462946769443	4.457427697761772
5	L-Methionine				1.0	0.0
6	L-Phenylalanine				1.0	0.0
7	Glycine				1.0	0.0
8	L-Alanine	5.041605537061677	0.007273854184602331	0.14547708369204662	114.41830634146085	6.838174084156412
9	L-Histidine				1.0	0.0
10	L-Proline				1.0	0.0
11	L-Serine				1.0	0.0
12	L-Tryptophan				1.0	0.0
13	L-Valine				1.0	0.0
14	L-Arginine				1.0	0.0
15	L-Asparagine	-1.0000000000000002	0.3739009663000589	1.0	0.03987931383536271	-4.648215602878028
16	L-Threonine				1.0	0.0
17	L-Lysine				1.0	0.0
18	Ile_Leu				1.0	0.0
19	L-Tyrosine	0.289820943118494	0.7863559966510025	1.0	1.057492232494067	0.08064706648144698
