	Control_cell_T0-1	Control_cell_T0-2	Control_cell_T0-3	Control_cell_T1h-1	Control_cell_T1h-2	Control_cell_T1h-3	Control_cell_T2h-1	Control_cell_T2h-2	Control_cell_T2h-3	Control_cell_T4h-1	Control_cell_T4h-2	Control_cell_T4h-3	Control_cell_T6h-1	Control_cell_T6h-2	Control_cell_T6h-3	Control_cell_T24h-1	Control_cell_T24h-2	Control_cell_T24h-3	L-Cycloserine_cell_T0-1	L-Cycloserine_cell_T0-2	L-Cycloserine_cell_T0-3	L-Cycloserine_cell_T1h-1	L-Cycloserine_cell_T1h-2	L-Cycloserine_cell_T1h-3	L-Cycloserine_cell_T2h-1	L-Cycloserine_cell_T2h-2	L-Cycloserine_cell_T2h-3	L-Cycloserine_cell_T4h-1	L-Cycloserine_cell_T4h-2	L-Cycloserine_cell_T4h-3	L-Cycloserine_cell_T6h-1	L-Cycloserine_cell_T6h-2	L-Cycloserine_cell_T6h-3	L-Cycloserine_cell_T24h-1	L-Cycloserine_cell_T24h-2	L-Cycloserine_cell_T24h-3
L-Lactic_acid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hexose	41947.162940999995	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56860.13784	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hexose-phosphate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pyruvic_acid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fumaric_acid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	487594.4187999999	438651.41066	170958.61161000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	151994.39399999997	12701.47524	45052.11487
L-Malic_acid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1628121.759	2628823.0176	4298042.6892	24650033.325000003	19495384.38	13581985.296000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	740814.5283	1212389.4882	446590.6572	7520237.864	11382340.587000001	10770433.152
L-Glutamic_acid	2162792.65997	1994085.8501499998	1573847.74794	13352457.408000002	11769767.672	11703250.514800001	10473530.3629	14777548.207799999	14931769.7016	16621183.686399998	16953368.180999998	17353340.099600002	21213795.6695	21418979.7378	22610804.1425	44822008.21	31892903.991000004	29127490.035	1737506.5117199998	2144642.6388600003	2125737.3479999998	10198298.387600001	11232901.944	11227969.124000002	10353970.8415	13161366.659200002	13172018.048799999	11286649.36	11531355.31	14597285.752499998	18965376.4832	20371452.0064	20038382.9064	22327617.568000004	28726620.65	28584304.316999998
L-Glutamine	0.0	0.0	0.0	1207806.93807	1051347.983535	1047536.4052100001	726907.6756000001	1018111.0088999999	1043511.6733599999	1362958.18228	1793740.5277999998	1569361.4685	1833566.00163	1554610.9832999997	2014532.0387500003	3889349.6541000004	3309229.728	2898224.3290000004	0.0	0.0	0.0	713449.9538400001	1159980.031097	936163.001988	835129.98668	1111376.10558	788304.9912600002	1003708.3825600002	960754.72225	1394931.2888	1423044.82386	1569741.10949	1630068.53336	1803756.738	2990953.6382999998	3138802.6410000003
L-Methionine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Phenylalanine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Glycine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Alanine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Histidine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Proline	396372.82655199995	411433.30980000005	143760.17369999998	216481.88302199997	0.0	595903.96458	399660.25102200004	503445.82843600004	243095.55452399998	435534.739614	0.0	0.0	597916.093145	211210.007309	0.0	293350.6451000001	735076.045593	726522.5559800001	297095.0944	398379.9468	176243.57459999996	199750.67549999998	508691.27909599995	0.0	269079.055944	106908.37613	255950.03403900002	596797.296483	463977.35564500006	662550.1189700001	327660.65406	787456.917916	644045.8976820001	0.0	586881.6832079999	225754.56119999997
L-Serine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Tryptophan	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Valine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55394.60703	0.0
L-Arginine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Threonine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Lysine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ile_Leu	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Aspartic_acid	44887.95928	0.0	0.0	3034276.1766399997	3109307.0292	2965662.96063	2153365.89732	3186821.72202	3038752.3029099996	3186196.469710001	3464159.3077000002	3560542.166	4472978.2524	4367697.713599999	4565063.844699999	9230274.942	7197322.123599999	6595637.996700001	127111.25373799998	180408.61719299998	0.0	1898132.1641	2479780.3469599998	2312126.6909100004	1776958.7397	2282058.0657	2320347.2603599997	1647412.24095	1921419.1210000003	2527431.0585699994	3667646.2822999996	3694705.1554	3154520.0319999997	4813580.646	5159692.9449000005	5420057.776000001
L-Tyrosine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
