metabolite	log2FC	stat	pvalue	padj	distance/span	FC	count_nan_samples	distance	span_allsamples	compartment	input_L-Cycloserine_med_T4h-1	input_L-Cycloserine_med_T4h-2	input_L-Cycloserine_med_T4h-3	input_L-Cycloserine_med_T6h-1	input_L-Cycloserine_med_T6h-2	input_L-Cycloserine_med_T6h-3	L-Cycloserine_med_T4h-1	L-Cycloserine_med_T4h-2	L-Cycloserine_med_T4h-3	L-Cycloserine_med_T6h-1	L-Cycloserine_med_T6h-2	L-Cycloserine_med_T6h-3	geommean_6	geommean_4
Pyruvic_acid_m+3	0.2955139834055717	1.9639610121239315	0.024767306717813353	0.06191826679453338	0.22222222222222257	1.2273221527099967	('0/3', '0/3')	0.6129713330865574	2.7583709988895038	med	0.0051	0.0048	0.0056	0.0064	0.006	0.0066	7.815384496853593	7.355655997038674	8.581598663211787	9.8075413293849	9.194569996298345	10.114026995928178	9.697770292450203	7.901568688414022
Pyruvic_acid_m+0	-0.002078335342796151	-1.9639610121239315	0.024767306717813353	0.06191826679453338	0.17241379310342422	0.9985604448718469	('0/3', '0/3')	0.5620501008809242	3.259890585109815	med	0.9954	0.9964	0.9953	0.9948	0.9945	0.9935	1118.9293408338954	1120.0534410356574	1118.8169308137192	1118.2548807128383	1117.9176506523097	1116.7935504505476	1117.6551859569004	1119.266431688407
L-Tyrosine_m+2	0.444474577908397	1.5275252316519468	0.06331522897380859	0.10552538162301432	0.0	1.3608184231906733	('0/3', '0/3')	0.0	2.910427500435995	med	0.0005	0.0005	0.0007	0.0009	0.0007	0.0007	3.6380343755449944	3.6380343755449944	5.093248125762992	6.54846187598099	5.093248125762992	5.093248125762992	5.538298046788443	4.0698288268341845
L-Lactic_acid_m+2	0.015898914010431652	1.091089451179962	0.13761676203741713	0.1720209525467714	-0.25000000000000333	1.0110812344666076	('0/3', '0/3')	-0.8017837257372804	3.207134902949079	med	0.0121	0.0119	0.0122	0.0123	0.0121	0.0122	97.0158308142101	95.41226336273557	97.81761453994739	98.61939826568465	97.0158308142101	97.81761453994739	97.81542382496733	96.74338766317774
L-Lactic_acid_m+3	-0.0011423942869425755	0.0	0.5	0.5	-0.5	0.9992084660493192	('0/3', '0/3')	-1.3473360310541693	2.6946720621083387	med	0.9724	0.9702	0.9729	0.9728	0.9675	0.9729	485.24057651744675	484.14274715881	485.49008318986415	485.4401818553807	482.7954111277558	485.49008318986415	484.57358867152834	484.95744895701336
L-Lactic_acid_m+0	0.047557151868365205	0.0	0.5		-0.5454545454545455	1.0335134413681155	('0/3', '0/3')	-1.4548334513090557	2.6671946607332684	med	0.0153	0.0177	0.0147	0.0147	0.0202	0.0148	7.419650601676184	8.583517362723429	7.128683911414373	7.128683911414373	9.795878572147641	7.177178359791342	7.943321917400544	7.685746115585642
L-Asparagine_m+0	0.0007253005451530746	0.2182178902359924	0.41362967328135564		-0.7580645161290488	1.0005028664228797	('0/3', '0/3')	-1.8039527740945687	2.3796823828481024	med	1.0	1.0	0.9938	0.9953	1.0	1.0	383.8197391690515	383.8197391690515	381.4400567862034	382.01578639495693	383.8197391690515	383.8197391690515	383.2174770458914	383.0248667012994
L-Proline_m+0	-0.0018526432069928833	-0.6546536707079772	0.25634538013096164		-0.8918918918918948	0.9987166697579444	('0/3', '0/3')	-2.026265502842847	2.2718734425813665	med	1.0	0.9802	1.0	1.0	0.9986	0.9778	102.33664155771953	100.31037605487668	102.33664155771953	102.33664155771953	102.19337025953874	100.06476811513816	101.52625311375706	101.65671224689144
Hexose_m+0	0.0	0.0	0.5			1.0	('0/3', '0/3')	0.0	0.0	med	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Glycine_m+0	0.0	0.0	0.5			1.0	('0/3', '0/3')	0.0	0.0	med	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
L-Tryptophan_m+0	0.0	0.0	0.5			1.0	('0/3', '0/3')	0.0	0.0	med	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
L-Lysine_m+0	0.0	0.0	0.5			1.0	('0/3', '0/3')	0.0	0.0	med	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
L-Histidine_m+0	0.0	0.0	0.5			1.0	('0/3', '0/3')	0.0	0.0	med	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
L-Alanine_m+0	0.0	0.0	0.5			1.0	('0/3', '0/3')	0.0	0.0	med	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Ile_Leu_m+0	0.0	0.0	0.5			1.0	('0/3', '0/3')	0.0	0.0	med	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Hexose-phosphate_m+0	0.0	0.0	0.5			1.0	('0/3', '0/3')	0.0	0.0	med	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
L-Valine_m+0	0.0	0.0	0.5			1.0	('0/3', '0/3')	0.0	0.0	med	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
L-Methionine_m+0	0.0	0.0	0.5			1.0	('0/3', '0/3')	0.0	0.0	med	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
L-Lactic_acid_m+1	0.0	0.0	0.5			1.0	('0/3', '0/3')	0.0	0.0	med	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002000000000000002	0.0002000000000000002
L-Threonine_m+0	0.0	0.0	0.5			1.0	('0/3', '0/3')	0.0	0.0	med	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
L-Tyrosine_m+0	0.0	0.0	0.5			1.0	('0/3', '0/3')	0.0	0.0	med	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
L-Arginine_m+0	0.0	0.0	0.5			1.0	('0/3', '0/3')	0.0	0.0	med	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
L-Serine_m+0	0.0	0.0	0.5			1.0	('0/3', '0/3')	0.0	0.0	med	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
L-Phenylalanine_m+0	0.0	0.0	0.5			1.0	('0/3', '0/3')	0.0	0.0	med	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
L-Proline_m+3						72999999.99999999	('3/3', '2/3')	0.0		med						0.0073						0.0073	0.007299999999999999	0.0
Pyruvic_acid_m+1						1000000.0000000008	('3/3', '2/3')	0.0		med						0.0001						0.0001	0.00010000000000000009	0.0
L-Asparagine_m+1						0.6923076923076924	('2/3', '2/3')	2.0		med			0.0013	0.0009					6.5	4.5			4.5	6.499999999999999
L-Proline_m+1						0.31503540293443544	('2/3', '1/3')	0.6049536392146297		med		0.0219			0.0028	0.017		2.7037723875102846			0.3456877938369314	2.098818748295655	0.851784023542303	2.7037723875102846
L-Asparagine_m+2						0.7800000000000001	('2/3', '2/3')	1.9999999999999991		med			0.005	0.0039					9.090909090909088	7.090909090909089			7.090909090909088	9.090909090909086
L-Alanine_m+2						2.0	('2/3', '2/3')	2.0		med	0.0001			0.0002			2.0			4.0			4.0	2.0
