	mets	stat	pval	padj	FC_geommu	log2FC
0	L-Lactic_acid	-0.11371095986879419	0.9149457379440089	1.0	0.9959424645963334	-0.005865694400352159
1	Hexose				1.0	0.0
2	Hexose-phosphate				1.0	0.0
3	Pyruvic_acid				1.0	0.0
4	L-Glutamine	-1.1603911910705706	0.3104272906799854	1.0	0.8966239685070874	-0.15742502893159288
5	L-Methionine				1.0	0.0
6	L-Phenylalanine				1.0	0.0
7	Glycine				1.0	0.0
8	L-Alanine	-0.5995015749362853	0.5811425758656485	1.0	0.1475520842159699	-2.760703795487776
9	L-Histidine				1.0	0.0
10	L-Proline				1.0	0.0
11	L-Serine				1.0	0.0
12	L-Tryptophan				1.0	0.0
13	L-Valine				1.0	0.0
14	L-Arginine				1.0	0.0
15	L-Asparagine				1.0	0.0
16	L-Threonine	1.0	0.373900966300059	1.0	30.758809953266613	4.942927781940909
17	L-Lysine				1.0	0.0
18	Ile_Leu				1.0	0.0
19	L-Tyrosine	2.041728643933888	0.11072584288696444	1.0	1.6942261051244472	0.7606264242415527
