	Control_cell_T0-1	Control_cell_T0-2	Control_cell_T0-3	Control_cell_T1h-1	Control_cell_T1h-2	Control_cell_T1h-3	Control_cell_T2h-1	Control_cell_T2h-2	Control_cell_T2h-3	Control_cell_T4h-1	Control_cell_T4h-2	Control_cell_T4h-3	Control_cell_T6h-1	Control_cell_T6h-2	Control_cell_T6h-3	Control_cell_T24h-1	Control_cell_T24h-2	Control_cell_T24h-3	L-Cycloserine_cell_T0-1	L-Cycloserine_cell_T0-2	L-Cycloserine_cell_T0-3	L-Cycloserine_cell_T1h-1	L-Cycloserine_cell_T1h-2	L-Cycloserine_cell_T1h-3	L-Cycloserine_cell_T2h-1	L-Cycloserine_cell_T2h-2	L-Cycloserine_cell_T2h-3	L-Cycloserine_cell_T4h-1	L-Cycloserine_cell_T4h-2	L-Cycloserine_cell_T4h-3	L-Cycloserine_cell_T6h-1	L-Cycloserine_cell_T6h-2	L-Cycloserine_cell_T6h-3	L-Cycloserine_cell_T24h-1	L-Cycloserine_cell_T24h-2	L-Cycloserine_cell_T24h-3
Hexose	14804.881038	0.0	0.0	14979.154506	0.0	26236.172457000004	0.0	0.0	0.0	0.0	20764.037184	0.0	11378.34866	0.0	0.0	0.0	0.0	13220.13378	0.0	0.0	0.0	0.0	0.0	24980.02733	0.0	17589.769980999998	0.0	36862.921307000004	0.0	0.0	0.0	20307.225791999997	0.0	0.0	0.0	27422.889840000003
Hexose-phosphate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Glutamic_acid	0.0	0.0	0.0	1335245.7408	982358.5616000001	1016150.4937999999	1335836.9798	2064984.9023999998	2087916.9498000003	3072161.9135999996	3526795.5705	3245795.8866000003	4893550.963	4762603.1046	5265901.565	20931657.036000002	14212141.047	15266442.27	0.0	0.0	0.0	965855.5576	1225407.4848	1188843.7896	1375702.4194999998	2257327.4211999997	2006979.0814000003	2497171.1709000003	2137835.535	3337526.225	5533538.7743999995	6280318.1056	6575903.434400001	13121976.857	18210360.35	18195408.667
L-Glutamine	0.0	0.0	0.0	100930.94189999999	46726.577046	119881.55046	111026.24440000001	177283.01150000002	128796.15112	279650.78242	227967.0236	211006.58400000003	426954.76274	354560.3997	240584.40174999996	1807318.6125	1685255.88	1479223.5861000002	0.0	0.0	0.0	71767.15512	53303.239941	75458.982528	66967.97063	164804.82173999998	147041.34552	224620.22271000006	171629.9698	375922.16088	335272.3407	545225.10265	387877.75342	1273059.6025	1679744.3909	1545539.0781999999
L-Methionine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Phenylalanine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Histidine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Proline	16069.168643999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14420.922725999997	0.0	13611.854528999997	0.0	0.0	14198.992087999999	0.0	213973.41172000003	45751.621095	59173.78284	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17856.979119	0.0	0.0	25897.72452	0.0	0.0	29690.059113000003	29106.507027	65818.506528	48375.9774
L-Tryptophan	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Valine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
