	Control_cell_T0-1	Control_cell_T0-2	Control_cell_T0-3	Control_cell_T1h-1	Control_cell_T1h-2	Control_cell_T1h-3	Control_cell_T2h-1	Control_cell_T2h-2	Control_cell_T2h-3	Control_cell_T4h-1	Control_cell_T4h-2	Control_cell_T4h-3	Control_cell_T6h-1	Control_cell_T6h-2	Control_cell_T6h-3	Control_cell_T24h-1	Control_cell_T24h-2	Control_cell_T24h-3	L-Cycloserine_cell_T0-1	L-Cycloserine_cell_T0-2	L-Cycloserine_cell_T0-3	L-Cycloserine_cell_T1h-1	L-Cycloserine_cell_T1h-2	L-Cycloserine_cell_T1h-3	L-Cycloserine_cell_T2h-1	L-Cycloserine_cell_T2h-2	L-Cycloserine_cell_T2h-3	L-Cycloserine_cell_T4h-1	L-Cycloserine_cell_T4h-2	L-Cycloserine_cell_T4h-3	L-Cycloserine_cell_T6h-1	L-Cycloserine_cell_T6h-2	L-Cycloserine_cell_T6h-3	L-Cycloserine_cell_T24h-1	L-Cycloserine_cell_T24h-2	L-Cycloserine_cell_T24h-3
L-Lactic_acid	18524022.785	41691065.339	17371015.292	15692246.154	24295661.296	21687762.078	35627389.282	23212872.54	23221099.286	26415901.496	22833328.584000003	25327978.92	29264873.176	26647892.092	24398184.797	28674210.131000005	20658246.36	30859843.08	26400656.04	30517673.64	32754319.758	24340529.538	20038302.804000005	34437654.36	21384104.332	21501222.917	31956894.756	19379727.05	26710025.823	27307737.118	34600814.969000004	23628441.42	35743310.97	50739515.76099999	45254242.752	39838071.726
Hexose	545313.1182329999	182378.78538	596893.3619	469346.8411880001	327899.01114	345840.4551150001	418885.3057000001	251211.5088	423726.28943000006	396696.303602	298483.03452	362641.46867	392553.02877	363212.5342300001	374798.170752	247128.13844	493459.16238	304063.07693999994	527312.44843	430527.744087	469490.5157599999	409710.170824	450142.7579	559552.6121919999	361138.81386	389487.763865	377976.98939	498619.5145210001	404947.40544	385329.629448	362190.62808	266894.967552	625315.1504350001	377211.988124	379765.51596	283369.86168
Hexose-phosphate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pyruvic_acid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fumaric_acid	0.0	0.0	0.0	30673.960835	47461.779368	36458.587746	0.0	265560.946581	140096.00865299997	250882.05573	393719.19145	304526.4298	1159735.437	1023407.502966	911143.806824	2424613.3428	1401065.6997199997	1317014.4894400002	0.0	0.0	0.0	6224.891209000001	24291.512824000005	12225.841364	5981.454965999999	56385.47193299999	134414.456736	86529.93644399999	159245.80302800002	169598.15780400002	860140.8800459999	1024701.461457	977481.948408	956298.06225	1384460.8011600005	1441667.67584
L-Malic_acid	945846.6768	1186699.2918	1139330.61834	9301753.2546	7489540.601399999	8077709.259000001	7793577.2776	11977588.623899998	12246892.625	15535142.576	15930575.9832	17594930.8992	36469927.4016	36803522.2464	37470115.752	70342778.025	52854153.208	42289363.30799999	918098.04762	927452.159514	1190505.31608	6160554.12042	6625592.857209999	6059398.09293	6242674.2475	9591154.9032	10376574.087	10145454.2779	8614618.2906	11841447.0333	27515968.194	32954950.6338	34164185.2758	31808573.668	40516955.484	42228628.992000006
L-Glutamic_acid	8378196.80901	8585064.34433	8414032.19091	47735035.2336	42204348.014400005	41206654.5072	35314413.774500005	52807686.827	52176833.67480001	53112953.0832	55356253.282000005	56302890.7388	70376325.70500001	69401569.305	73858341.0225	121748055.798	85211454.744	77654935.59	8004940.71471	8027653.18032	7103505.6379	33790740.7578	39502371.8364	37481602.811	35869630.4537	47958642.75379999	47485514.770600006	39263431.4611	36200681.726	49448085.9125	65551151.6352	74281913.72799999	73655296.342	62773916.73099999	82288251.50000001	82458148.902
L-Glutamine	353217.18100000004	282242.96464	327370.00527	6644620.34175	4716788.360699001	5260516.60709	3104545.1736000003	4287716.26385	4854826.34936	5044574.308119999	5795161.7052	5053607.6868	5708326.69088	5334770.321639999	5631993.88675	11200555.8812	9761352.24	8337099.8555	262493.6967	272720.6404	178196.99404	3444823.4457600005	4203341.206776	3456964.637064	3460668.364615	4054621.19127	3122586.3513900004	3517026.5501800007	3268431.5988	4329015.575920001	4557220.3347000005	5051573.97432	4723270.870759999	6141362.226999999	8499584.2043	8208611.3512
L-Methionine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Phenylalanine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Glycine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Alanine	0.0	3281.86542	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5225.074971	2208.98723	0.0
L-Histidine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Proline	0.0	0.0	0.0	476993.97954	278493.20389	223973.0163	355253.556464	377584.371327	572716.645404	778006.500678	799210.3159169998	409121.291314	937499.10075	695750.6123119999	909613.324032	1484009.1458	1259694.6341490005	1163751.0625200002	0.0	0.0	0.0	223720.75656	366654.103764	383924.82792	344807.89204799995	529284.09166	277775.23074	554295.411867	442583.5870849999	761824.72963	548123.68673	705524.9842599999	694290.6131040001	812743.2346769999	877580.08704	1040083.5141
L-Serine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Tryptophan	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Valine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Arginine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Threonine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Lysine	28748.24475	11788.64936	24086.8516	32268.375172	34947.458297	25378.0242	16116.135	19486.771	24881.36928	15305.961229999995	24064.62685	19009.74762	8563.07697	25127.3994	29672.16636	20183.56851	23036.25591	7982.076	14875.446060000002	22398.51762	27225.92972	30684.1023	21234.46644	15301.995650000004	39218.410026	16594.7596	18189.22595	21609.6825	28980.52625	24361.4646	12309.112240000002	0.0	20319.18483	4165.4884	0.0	13297.61256
Ile_Leu	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Aspartic_acid	1312972.80894	1516224.7612889998	1494599.280636	6431103.73468	5355433.30104	5605998.82383	3651098.04378	5923578.75006	5758130.329779999	5842014.98207	6372530.41878	6706438.9152	8513249.947199998	8556809.6562	8944123.9239	14884656.444	11426564.2778	9597050.0504	1443620.6674530003	1211315.001153	1311629.55504	3502704.345	4339615.60718	4167250.11628	3181735.57014	4321421.06727	4764556.47412	3763087.46055	3545252.59765	4542264.72777	7434886.2653	8118075.297200002	7861191.744	7820158.3987	9132955.254	9475756.1808
L-Tyrosine	132144.6688	0.0	0.0	127709.083	190361.38145	156867.6661	143615.88572000002	230483.90784	74374.6243	227174.5032	103601.91927	163906.90032000002	42219.04087	225842.031	219658.7405	290520.4916	402481.1781	228488.6305	161100.51256	180417.0604	344713.03579999995	100443.14667	65081.5362	160000.8608	181325.77416	181117.306	479944.719	112175.09956	134818.52535999997	145951.63376	50910.8835	141405.5145	490480.0434	282672.2652	122527.2174	381301.545
