	Control_cell_T0-1	Control_cell_T0-2	Control_cell_T0-3	Control_cell_T1h-1	Control_cell_T1h-2	Control_cell_T1h-3	Control_cell_T2h-1	Control_cell_T2h-2	Control_cell_T2h-3	Control_cell_T4h-1	Control_cell_T4h-2	Control_cell_T4h-3	Control_cell_T6h-1	Control_cell_T6h-2	Control_cell_T6h-3	Control_cell_T24h-1	Control_cell_T24h-2	Control_cell_T24h-3	L-Cycloserine_cell_T0-1	L-Cycloserine_cell_T0-2	L-Cycloserine_cell_T0-3	L-Cycloserine_cell_T1h-1	L-Cycloserine_cell_T1h-2	L-Cycloserine_cell_T1h-3	L-Cycloserine_cell_T2h-1	L-Cycloserine_cell_T2h-2	L-Cycloserine_cell_T2h-3	L-Cycloserine_cell_T4h-1	L-Cycloserine_cell_T4h-2	L-Cycloserine_cell_T4h-3	L-Cycloserine_cell_T6h-1	L-Cycloserine_cell_T6h-2	L-Cycloserine_cell_T6h-3	L-Cycloserine_cell_T24h-1	L-Cycloserine_cell_T24h-2	L-Cycloserine_cell_T24h-3
L-Lactic_acid	1592260567.215	3403851524.6610003	1454748924.708	1325525373.846	2070157898.7039995	1880747507.9220002	2884650420.718	1960793327.46	1944668670.714	2212219818.5039997	1980090231.4160001	2085336931.08	2389319686.8240004	2231648047.908	2025869445.203	2380923279.869	1700862283.64	2540793746.92	2173654013.96	2512621796.36	2743035490.2419996	2056046610.462	1737707557.196	2835366875.64	1822073165.668	1881261867.0830002	2676254525.244	1622970022.95	2256198164.177	2286907272.882	2873030695.031	2031018638.5800004	2993350839.03	4142608894.2390003	3664109917.2479997	3199029548.2739997
Hexose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2433.719654	0.0	16737.298554	0.0	0.0	32209.217799	0.0	0.0	15864.160535999998	0.0	0.0	0.0	4527.184208	0.0	0.0	0.0	0.0	34890.183636	0.0	0.0	25533.891108000003	0.0	0.0	0.0	3091.9015420000005	0.0	0.0
Hexose-phosphate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pyruvic_acid	1139503.0	3131955.0	1752540.0	1734234.0	2661289.0	2356224.0	3839994.0	5538026.0	3605593.0	5238590.0	4296378.0	5177996.0	5454988.0	5286947.0	4976976.0	13595670.0	6899467.0	9146315.0	2070508.0	2434834.0	2323098.0	2528200.0	1893712.0	2882174.0	3077114.0	4219301.0	7691774.0	4104810.0	5907366.0	4754516.0	6839826.0	5977178.0	7805231.0	16448200.0	13543290.0	14028240.0
Fumaric_acid	24453.945032000003	0.0	18164.111337	42943.54516899999	17798.167263	0.0	36109.739778	0.0	0.0	0.0	145373.23992	12181.057192	354363.60574999993	323863.13385000004	150764.80256799998	1649805.7732	1211201.6563	1063742.47224	0.0	0.0	0.0	18674.673627	0.0	0.0	0.0	81445.681681	19202.065248	0.0	55123.547202	0.0	161680.61655	150115.50072299998	219434.723112	740972.6707499999	870051.0539400001	1042634.6584199999
L-Malic_acid	94584.66768	98891.60765	0.0	3200603.2704000003	2784572.7876999998	2659733.5365	2990558.7228	4771559.6957	4310906.204	6214057.0304	6909647.414399999	7413594.48	15847051.7876	16649212.4448	16751345.8656	53388364.86	39748922.597	34469432.38	204021.78836	103050.239946	99208.77634	2346877.7601599996	2472236.14075	2693065.81908	2795227.275	3757359.6528000003	4069244.74	4456414.4959	3983103.0806	5391227.9176	11958863.099699998	15099759.989400001	14514196.359000001	24491585.476000004	32998345.188	34124144.64
L-Glutamic_acid	0.0	83961.50948	0.0	9826574.1237	8618806.248000002	8234322.967	8796628.622299999	12260847.858	12632952.049800001	16069770.0096	16644000.148500001	16228979.433	22374122.1865	22233970.643400002	23425118.8175	63280726.86200001	43649383.51799999	42905867.535	124107.60798	196756.20540000004	124001.34529999999	7371750.5058	8679969.684	8354929.965799999	9094117.046799999	11956183.375	11963933.5532	12330664.4258	11129701.361	15967428.0975	22441573.9184	24408799.36	24594914.42	34144149.043000005	45392219.6	45295585.03400001
L-Glutamine	0.0	0.0	0.0	1221264.3969899998	892996.8057679998	1018993.1789100001	777183.7108	1240981.0805000002	1232763.16072	1645324.02084	1823736.1888	1645851.3551999999	1871582.5215999999	1838259.3030599998	2197144.2955000005	5942463.5978999995	5178331.704	4663506.420299999	0.0	0.0	0.0	607910.01984	878234.3342660001	848913.5534399998	714981.568785	908539.4018999999	790347.23217	1295107.5904	936502.6613000002	1766124.8690400003	1735965.67518	1757399.98203	1649707.9132799997	3288481.6720000003	4558197.8275	4449390.4104
L-Methionine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Phenylalanine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
