	Control_cell_T0-1	Control_cell_T0-2	Control_cell_T0-3	Control_cell_T1h-1	Control_cell_T1h-2	Control_cell_T1h-3	Control_cell_T2h-1	Control_cell_T2h-2	Control_cell_T2h-3	Control_cell_T4h-1	Control_cell_T4h-2	Control_cell_T4h-3	Control_cell_T6h-1	Control_cell_T6h-2	Control_cell_T6h-3	Control_cell_T24h-1	Control_cell_T24h-2	Control_cell_T24h-3	L-Cycloserine_cell_T0-1	L-Cycloserine_cell_T0-2	L-Cycloserine_cell_T0-3	L-Cycloserine_cell_T1h-1	L-Cycloserine_cell_T1h-2	L-Cycloserine_cell_T1h-3	L-Cycloserine_cell_T2h-1	L-Cycloserine_cell_T2h-2	L-Cycloserine_cell_T2h-3	L-Cycloserine_cell_T4h-1	L-Cycloserine_cell_T4h-2	L-Cycloserine_cell_T4h-3	L-Cycloserine_cell_T6h-1	L-Cycloserine_cell_T6h-2	L-Cycloserine_cell_T6h-3	L-Cycloserine_cell_T24h-1	L-Cycloserine_cell_T24h-2	L-Cycloserine_cell_T24h-3
Hexose	0.0	0.0	0.0	14979.154506	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24066.768303	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27827.113878	0.0	0.0
Hexose-phosphate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fumaric_acid	18340.458774	18955.881828	0.0	0.0	0.0	18229.293873	24073.159852	24703.343868	18273.392433	0.0	0.0	48724.228768	45100.82255	71249.88944700001	26219.965664	1108776.3495999998	608874.3461399999	683834.4464400001	18380.376669	31993.674125	0.0	18674.673627	18218.634618	18338.762046	0.0	18795.157311	51205.50732799999	55626.387714	0.0	56532.71926800001	19401.673986	39160.565406	46546.759448	582645.1769999999	641424.49962	630729.60818
L-Malic_acid	472923.3384	494458.03825	379776.87278	1600301.6352	1344276.5181999998	985086.495	1178098.8908	1850196.6167	1763552.5379999997	2524460.6686	2687085.1055999994	2866589.8656	5101448.178200001	5148111.7428	5400104.9172	30061016.25	21986461.273	20681659.428	204021.78836	309150.719838	297626.32902	977865.7334	988894.4563	769447.3768800001	1397613.6375	1285412.5128	1424235.6589999998	1896346.594	1945236.3882	2117982.3962	4339056.5229	5069992.4052	4912497.2292	15243725.4	20780603.457	21434228.352
L-Glutamic_acid	167983.89592	125942.26421999998	221952.88753000004	8240969.806500001	7061860.603200001	6937855.095600001	6920772.437899999	10260393.7338	9870152.8536	13096074.824	13405948.075	13577185.408000002	18691346.7195	18541043.1024	20249291.585	51269311.854	35576396.271	34804181.565	310269.01995	295134.3081	212573.7348	5894559.653000001	7165229.8764	7033992.4218	7356387.6748	9679726.0604	10210262.5112	10553017.1516	9082561.879	13385236.755	19225500.1008	21189476.6336	21772971.607600003	29687628.601	39777606.05	40071454.65
L-Glutamine	0.0	0.0	0.0	999216.32481	576294.450234	839170.8532199999	550941.5523999999	863621.5274499999	822718.27144	1352097.9577199998	1448790.4263	1107784.566	1555752.9710799998	1440060.70032	1507275.77	4409857.4145	3987709.3679999993	3519272.3995	0.0	0.0	0.0	563583.2475599999	708171.6163590001	726292.706832	527865.18026	790217.9914200001	655559.33211	1021920.8330500002	781662.5798500001	1234159.54704	1169727.94422	1316148.0384900002	1544146.24621	2785393.058	3898713.886500001	3542625.203
L-Methionine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Phenylalanine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Histidine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Proline	0.0	0.0	0.0	0.0	0.0	0.0	30081.954378	19499.662369	0.0	0.0	71948.373939	76067.77778199999	70833.26539	76319.582473	125545.58899400002	334764.85382	335511.88803	502977.15414000006	0.0	0.0	0.0	0.0	37986.68642599999	0.0	40281.2958	15773.36697	0.0	24792.766026	0.0	38846.586780000005	18203.36967	143380.883898	73083.22243200001	161205.269688	233107.21062000003	174691.0295
