	mets	stat	pval	padj	FC_geommu	log2FC
0	L-Lactic_acid	0.5022002090273915	0.6419127947002208	1.0	1.2385837888229825	0.30869146860894237
1	Hexose				1.0	0.0
2	Hexose-phosphate				1.0	0.0
3	Pyruvic_acid	0.4476906525351358	0.67755216144818	1.0	1.2325511710109387	0.30164754326139603
4	Fumaric_acid	-1.9376925146144095	0.12470759251675656	0.9145223451228816	0.0013106265789955861	-9.575527590232271
5	L-Malic_acid	1.5058825110046947	0.20655940651874496	0.9734821185068425	60.64083280253472	5.922217661586285
6	L-Glutamic_acid	3.2495273882854043	0.03138975397450763	0.3452872937195839	3303.880526563998	11.689945802275961
7	L-Glutamine				1.0	0.0
8	L-Methionine				1.0	0.0
9	L-Phenylalanine				1.0	0.0
10	L-Alanine	-13.601378166502503	0.00016917220619259282	0.003721788536237042	0.0001911187531155211	-12.353243032948564
11	L-Histidine				1.0	0.0
12	L-Proline				1.0	0.0
13	L-Serine				1.0	0.0
14	L-Tryptophan				1.0	0.0
15	L-Valine				1.0	0.0
16	L-Arginine				1.0	0.0
17	L-Threonine				1.0	0.0
18	L-Lysine				1.0	0.0
19	Ile_Leu				1.0	0.0
20	L-Aspartic_acid	-1.4477680247364946	0.22124593602428239	0.9734821185068425	0.5567034008269766	-0.8450191984247193
21	L-Tyrosine				1.0	0.0
