	mets	stat	pval	padj	FC_geommu	log2FC
0	L-Lactic_acid	-0.014404628538886287	0.9891969955804387	1.0	1.0030922011330392	0.0044542201115150585
1	Hexose				1.0	0.0
2	Hexose-phosphate				1.0	0.0
3	Pyruvic_acid	0.9186992040810837	0.41023831426730123	1.0	1.0454696917034323	0.06415123862480872
4	L-Glutamine	0.8954076545793659	0.42118230313511024	1.0	1.0468850806871888	0.06610308255319469
5	L-Methionine				1.0	0.0
6	L-Phenylalanine				1.0	0.0
7	L-Alanine	-11.762302442291636	0.0002989092546497739	0.005679275838345705	2.38393021089863e-06	-18.67822656752754
8	L-Histidine				1.0	0.0
9	L-Proline	8.737592008110616	0.0009453252812040868	0.008980590171438825	103765.11692902254	16.662962003955034
10	L-Serine				1.0	0.0
11	L-Tryptophan				1.0	0.0
12	L-Valine				1.0	0.0
13	L-Arginine				1.0	0.0
14	L-Asparagine				1.0	0.0
15	L-Threonine				1.0	0.0
16	L-Lysine				1.0	0.0
17	Ile_Leu				1.0	0.0
18	L-Tyrosine				1.0	0.0
